Date,Time,X,Y,Z
12-13-2017,12:10:54,-33.1500015258789,-45.9000015258789,-41.8500022888184
12-13-2017,12:10:55,-50.2500038146973,-27.6000003814697,-41.4000015258789
12-13-2017,12:10:56,-51.7500038146973,-18.9000015258789,-42.3000030517578
12-13-2017,12:10:57,-48.6000022888184,-29.1000003814697,-41.8500022888184
12-13-2017,12:10:58,-47.4000015258789,-34.5,-40.8000030517578
12-13-2017,12:10:59,-46.0500030517578,-34.2000007629395,-39.6000022888184
12-13-2017,12:11:00,-46.6500015258789,-35.8500022888184,-40.8000030517578
12-13-2017,12:11:01,-46.5,-43.8000030517578,-41.1000022888184
12-13-2017,12:11:02,-40.3500022888184,-59.4000015258789,-36.6000022888184
12-13-2017,12:11:03,-52.6500015258789,-36.75,-41.4000015258789
12-13-2017,12:11:04,-50.1000022888184,-43.9500007629395,-36
