Date,Time,Orientation
12-13-2017,12:20:33,282.459512466243
12-13-2017,12:20:34,129.737585472938
12-13-2017,12:20:35,134.812675573446
12-13-2017,12:20:36,173.998181181483
12-13-2017,12:20:37,53.0393456412083
12-13-2017,12:20:38,8.95566805386619
12-13-2017,12:20:39,320.411970853607
12-13-2017,12:20:40,323.467076903313
12-13-2017,12:20:41,231.42835513914
12-13-2017,12:20:42,170.462574738761
12-13-2017,12:20:43,36.0101370025196
12-13-2017,12:20:44,242.552274428989
12-13-2017,12:21:04,236.954975385299
12-13-2017,12:21:04,248.841198428035
12-13-2017,12:21:05,32.5604679999346
12-13-2017,12:21:06,6.56534730428501
12-13-2017,12:21:07,301.812587102097
12-13-2017,12:21:08,198.2141970545
12-13-2017,12:21:09,201.642105074389
12-13-2017,12:21:10,157.755144391735
12-13-2017,12:21:11,139.743238871116
12-13-2017,12:21:12,246.74812793802
12-13-2017,12:21:13,219.379314046969
12-13-2017,12:21:14,223.222360964611
12-13-2017,12:21:15,286.118424314052
12-13-2017,12:21:16,329.443089445913
12-13-2017,12:21:18,356.864747656799
12-13-2017,12:21:19,322.888286673046
12-13-2017,12:21:20,289.591199846599
12-13-2017,12:21:22,250.668929729174
12-13-2017,12:21:31,182.829346213208
12-13-2017,12:21:31,325.73282482083
12-13-2017,12:21:31,295.222602024815
12-13-2017,12:21:32,84.542121282126
12-13-2017,12:22:00,288.962979537308
12-13-2017,12:22:00,351.372683898972
12-13-2017,12:22:00,167.604249854137
12-13-2017,12:22:01,192.949309657336
12-13-2017,12:22:02,174.661296927243
12-13-2017,12:22:03,178.68123208401
12-13-2017,12:22:04,96.5946662613414
12-13-2017,12:22:05,104.686575786163
12-13-2017,12:22:06,92.9022113545191
12-13-2017,12:22:07,74.3259956046737
12-13-2017,12:22:20,39.8765397520291
12-13-2017,12:22:20,96.131681888452
12-13-2017,12:22:21,63.0788733625755
12-13-2017,12:22:22,61.0517893301316
12-13-2017,12:22:23,136.03213754786
12-13-2017,12:22:24,148.987654025918
12-13-2017,12:22:25,165.450308718238
